event_id,match_folder,family,D,T,B,C,V,D_distance,D_angle,D_pressure,D_lane,D_keeper_proxy,B_shoulder_hip,B_torso_lean,B_knee_stability,C_contact_near_ankle,C_plant_forward,C_plant_lateral,C_foot_path_stability,V_exit_speed,V_launch_angle,Q,technique_score,technique_q,technique_mechanics_score,technique_mechanics_q,technique_mechanics_band,positioning_score,positioning_q,shot_geometry_score,shot_geometry_q,receiving_pressure_score,receiving_pressure_q,arrival_receiving_score,arrival_receiving_q,approach_prep_score,approach_prep_q,placement_score,placement_q,strike_output_score,strike_output_q,strike_quality_score,strike_quality_q,strike_quality_band,decision_quality_score,decision_quality_q,decision_quality_band,carry_progression_score,carry_progression_q,carry_progression_band,P1_score,P1_q,P2_score,P2_q,P3_score,P3_q,P4_score,P4_q,P4_mech_score,P4_mech_q,P4_strike_score,P4_strike_q,P5_score,P5_q,P6_score,P6_q,legacy_Q,goal_plane_y_m,goal_plane_z_m,blocked_flight_flag,initial_ball_speed_m_s,initial_goal_alignment_score,goal_plane_lateral_score,goal_plane_vertical_score,trajectory_flatness_score,technique_P2,technique_P3,technique_P4,technique_P4_mech,technique_P4_strike,technique_P5,phase_P1_start,phase_P1_end,phase_P1_available,phase_P2_start,phase_P2_end,phase_P2_available,phase_P3_start,phase_P3_end,phase_P3_available,phase_P4_start,phase_P4_end,phase_P4_available,phase_P5_start,phase_P5_end,phase_P5_available,phase_P6_start,phase_P6_end,phase_P6_available,contact_frame,biomech_frame,physics_exit_frame,shot_direction_x,shot_direction_y,ball_z_at_contact,ball_exit_speed_m_s,launch_angle_deg,position_delta_jump_m_s,parquet_velocity_jump_m_s,parquet_exit_speed_m_s,foot_velocity_into_ball_m_s,foot_speed_m_s,foot_velocity_into_ball_score,foot_peak_velocity_at_contact,foot_peak_velocity_score,knee_peak_angular_velocity_dps,knee_peak_angular_velocity_score,non_kicking_arm_abduction_deg,non_kicking_arm_abduction_score,proximal_distal_sequencing_score,plant_knee_lateral_track_stdev_m,ball_to_foot_speed_ratio,ball_to_foot_speed_ratio_score,shot_value,best_pass_option_value,best_pass_option_player_id,best_pass_option_distance_m,best_pass_option_lane_score,best_pass_option_pressure_score,best_pass_pitch_control,shot_pitch_control,pass_value_margin,decision_context_source,better_pass_available,additive_score,bottleneck_score,gate_score,ear_score,weakest_constraint,R_exec,bio_execution,xG,shot_result,T_sync,T_foot_path,T_torso,D_keeper,B_torso,B_knee,C_foot_path,approach_speed_m_s,approach_angle_deg,prep_ball_forward_m,prep_ball_lateral_m,initial_ball_velocity_x_m_s,initial_ball_velocity_y_m_s,initial_ball_velocity_z_m_s,distance_context_score,angle_context_score,pressure_context_score,defenders_lane_score,defenders_lane_q,keeper_proxy_score,keeper_proxy_q,previous_event_type_score,receiver_is_shooter_score,time_to_shot_context_score,ball_height_context_score,family_context_affordance_score,approach_speed_score,approach_angle_score,prep_touch_offset_score,touch_timing_score,trunk_lean_approach_score,plant_forward_score,plant_lateral_score,shoulder_hip_score,com_over_plant_foot_score,ankle_rigidity_score,position_delta_jump_score,exit_speed_score,launch_angle_score,kpi_outcome_weak_score,initial_velocity_q,projection_q,valid_p6_ball_ratio,outcome_q,finishing_execution_index
18902400000023,Bayern_Hamburg,dead_ball,0.3765590909090909,0.9098318093306133,0.8701690879285519,0.6770564753079231,0.8341954381535989,0.2245454545454546,0.0407499999999999,1.0,0.6,0.0175,0.6105072637856556,1.0,1.0,0.5210956427649996,0.7724390029907227,0.5351958274841309,0.8794954279918391,1.0,0.6683908763071977,0.7683918080901135,80.79088412384884,0.7718792260884915,81.37917894086534,0.7759320264961241,ok,42.97666666666667,0.7254224032610613,42.97666666666667,0.7254224032610613,91.0,0.76,91.0,0.76,73.48788847999771,0.7750000000000001,79.18064357713496,0.8443480142671438,87.44490031294603,0.7265174261903997,82.25634899287911,0.7223140275152058,ok,11.7445,0.85,ok,,0.0,insufficient_confidence,49.057,0.7254224032610613,73.48788847999771,0.7750000000000001,85.0134975774833,0.8052800407632679,80.86077437207612,0.6802800407632679,81.64236715635589,0.6802800407632679,80.07918158779636,0.6802800407632679,81.38558945448064,0.9,84.43351639796187,0.7643480142671438,0.7683918080901135,-0.4908255520988902,0.8476749518816318,False,29.880378727882256,0.9996320808296412,0.5670526710517609,1.0,,0.7348788847999771,0.8501349757748331,0.8086077437207613,0.8164236715635589,0.8007918158779636,0.8138558945448063,3335676,3335747,True,3335748,3335784,True,3335785,3335796,True,3335796,3335800,True,3335800,3335823,True,3335823,3335873,True,3335798.0,3335797.0,3335798.0,-0.3524665022588028,-0.9358244305346196,0.0191512387245893,32.02985597212944,11.60631932924808,18.955506522831875,0.1179208564445039,31.62488740939491,10.609486073058996,11.534565495941482,0.8609486073058997,,0.9720247983806278,,0.7432998866526345,,0.9407066175231308,,,2.77685847667165,1.0,0.0445,0.7641249280030417,DFL-OBJ-0027T1,15.69654170929654,1.0,1.0,0.7758297945944724,0.8389470514143883,0.7196249280030417,skeleton_pitch_control,True,58.92134174339237,50.47825277412082,57.88842318000656,80.95436901333845,D,0.5844072727272728,0.7953849435563412,0.0445,blockedShot,0.85,0.8794954279918391,1.0,0.0175,1.0,1.0,0.8794954279918391,2.6272089200257556,44.31728989900631,0.8473037316069074,1.3323708522659956,-11.316299438476562,-27.258968353271484,4.661227762699127,0.2891666666666667,0.0407499999999999,1.0,0.6,0.8,0.0,0.55,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.4473037316069074,0.7,0.436861392615181,0.6718048095703125,0.6326266479492189,0.8736413435177249,0.6905543299320688,0.7485785839567267,0.5888866601287216,0.9933543737712364,1.0,0.35,0.705280040763268,0.85,1.0,0.2,66.79861844617423
18902400000048,Bayern_Hamburg,carry_self_created,0.505109090909091,0.9497774836665984,0.805826360999356,0.7162531745326637,0.8748809777391455,0.4195454545454545,0.106,0.88,1.0,0.12,0.4174790829980678,1.0,1.0,0.8787923153071286,0.3506765365600586,0.6362113952636719,0.9993324509997956,1.0,0.749761955478291,0.8864396267581441,80.03079934785113,0.8459552225719823,78.44910029165982,0.8475595075351426,ok,54.71350144297828,0.7327790466175472,54.71350144297828,0.7327790466175472,90.1,0.76,90.1,0.76,76.34467847998094,0.7910000000000001,96.59220503766056,0.9018166579035384,93.5598656470541,0.8320134362943525,92.11147751243487,0.8331464116711096,ok,13.989155940349768,0.85,ok,79.38571428571429,0.7999999999999999,ok,69.25080115438263,0.7327790466175472,76.34467847998094,0.7910000000000001,81.80811244795665,0.844476165438681,81.59961613444023,0.844476165438681,76.64196682142659,0.844476165438681,86.55726544745383,0.844476165438681,78.15138198888181,0.9,97.6656895774159,0.8218166579035383,0.8864396267581441,-3.0374395561260883,1.074999121248045,False,34.836795463160996,0.9827571388593564,0.9149507590336186,1.0,,0.7634467847998094,0.8180811244795665,0.8159961613444022,0.766419668214266,0.8655726544745383,0.7815138198888181,3338706,3338777,True,3338778,3338814,True,3338815,3338826,True,3338826,3338830,True,3338830,3338853,True,3338853,3338903,True,3338828.0,3338828.0,3338830.0,-0.3236258381364767,-0.9461851388023717,0.0224044639617204,36.869989755365914,8.758331558259814,20.606495996099618,0.0,35.880472592452044,19.017633046267473,19.36740044185295,1.0,,0.938408916685806,,1.0,,0.7638144731011096,,,1.90371391690182,1.0,0.0308,0.7461323989047729,DFL-OBJ-0027T1,6.637212725583029,0.6666666666666667,1.0,0.5801066538477119,0.4331190667823005,0.7153323989047728,skeleton_pitch_control,True,68.39782143132295,62.29451655058573,67.41920107438808,82.98702520624516,D,0.5544672727272727,0.7882866690839716,0.0308,successfulShot,0.85,0.9993324509997956,1.0,0.12,1.0,1.0,0.9993324509997956,4.736826111028111,52.75618700308499,0.8369809138608202,-0.8131113640383703,-11.104011535644531,-32.74087905883789,4.282298963516951,0.4679166666666666,0.106,0.88,1.0,0.8,0.1132889850874405,0.55,0.7,1.0,1.0,1.0,0.928,0.8815869444859445,0.408127099897167,0.9868886359616298,1.0,0.7509288345325814,0.0,0.95587646484375,1.0,0.4887565461153031,0.0,0.6639316361863461,1.0,1.0,0.9,0.8694761654386809,0.85,1.0,0.2,87.4014868283515
18902400000172,Bayern_Hamburg,open_play,0.6300166666666666,0.8805734720018386,0.8485260178099349,0.6289558035403546,0.9444734048997374,0.7849999999999999,0.553,0.7633333333333333,0.8,0.24875,0.5455780534298047,1.0,1.0,0.5688960701743356,0.184417724609375,0.9207890033721924,0.8417204160055156,1.0,0.8889468097994747,0.7728869885157653,81.37553909546182,0.768827735346436,78.46538052644905,0.7748412304407382,ok,64.12883289831588,0.7738558705912251,64.12883289831588,0.7738558705912251,77.26666666666667,0.76,77.26666666666667,0.76,62.85062553503137,0.7756666666666667,83.97349760577585,0.867488867673218,88.58982048971728,0.7689974213715502,86.37119897864156,0.7669428162269204,ok,15.917152439588204,0.85,ok,,0.0,insufficient_confidence,70.64851893224788,0.7738558705912251,62.85062553503137,0.7756666666666667,93.15765119269224,0.7463967647806228,78.20413167201974,0.7463967647806228,68.94808101027984,0.7463967647806228,87.46018233375965,0.7463967647806228,84.79331492394363,0.8666666666666667,85.28221562352348,0.787488867673218,0.7728869885157653,0.3232550477434728,0.1062100478771677,False,27.731024642706224,0.9971151683238122,0.5441605256480154,1.0,,0.6285062553503137,0.9315765119269224,0.7820413167201974,0.6894808101027984,0.8746018233375965,0.8479331492394362,3357224,3357294,True,3357295,3357331,True,3357332,3357343,True,3357343,3357347,True,3357347,3357370,True,3357370,3357420,True,3357345.0,3357344.0,3357348.0,-0.6175447169271477,-0.7865357732458003,-0.040713220834732,30.67425770688958,3.8868616570183865,21.103100283567812,0.0,28.91077159156806,14.89446540528632,15.421861149670407,1.0,,1.0,,0.9782663413959014,,0.9587527448389536,,,1.98901140460243,1.0,0.2268,0.703931181885963,DFL-OBJ-002GIC,18.132890279299097,0.6666666666666667,1.0,0.7077521704843616,0.0799270028650274,0.477131181885963,skeleton_pitch_control,True,58.423574827948954,54.66856156781334,57.60541070588528,85.68394785846891,C,0.5210158333333333,0.7908659202335422,0.2268,successfulShot,0.8,0.8417204160055156,1.0,0.24875,1.0,1.0,0.8417204160055156,6.513671137357707,35.34364751565252,0.0690641060203236,-1.6455378844753357,-17.43011474609375,-21.52278423309326,1.4037758111953735,0.8029166666666666,0.553,0.7633333333333333,0.8,0.8,0.3206214432303833,0.55,1.0,1.0,0.4,0.1857355833053589,0.858,0.0,0.9885450828115826,0.3363301325254045,0.4,1.0,0.0,1.0,1.0,0.7558451449345674,0.3296235577806919,0.6865045583439915,0.8739458134836791,1.0,0.9,0.7713967647806227,0.85,1.0,0.2,65.15204963562408
18902400000231,Bayern_Hamburg,carry_self_created,0.633440909090909,0.9105799570064688,0.9006405307854045,0.7749362124572121,0.8926611059478053,0.4954545454545453,0.478,0.95,1.0,0.24375,0.7019215923562132,1.0,1.0,0.914991940174189,0.988384246826172,0.364628791809082,0.8317398710194058,0.8380925448801435,0.9472296670154672,0.7974772075027614,66.7605189458395,0.8173551700206949,67.89463090777981,0.8127767742346502,ok,65.76,0.7311380798245724,65.76,0.7311380798245724,91.5,0.76,91.5,0.76,54.115376253105495,0.8156666666666667,63.079728146562566,0.8614745088836904,78.41501623532474,0.7579567770222031,73.53940623371929,0.7553436957042599,ok,16.75133333333334,0.85,ok,66.31964285714285,0.7999999999999999,ok,76.0,0.7311380798245724,54.115376253105495,0.8156666666666667,78.09602764873122,0.8284519956143108,83.26145775299072,0.7292128825248294,83.7083746525866,0.7292128825248294,82.81454085339483,0.7292128825248294,35.2529252339465,0.9333333333333332,64.26427161404374,0.7814745088836904,0.7974772075027614,1.3298028371350372,-2.364520652280798,False,23.334546094754753,0.968855249907714,0.6816670542534204,0.0,,0.541153762531055,0.7809602764873123,0.8326145775299072,0.837083746525866,0.8281454085339484,0.3525292523394649,3368004,3368076,True,3368077,3368113,True,3368114,3368125,True,3368125,3368129,True,3368129,3368152,True,3368152,3368202,True,3368127.0,3368126.0,3368127.0,-0.9881395290284511,0.1535586896643448,0.0233413521200418,24.76185089760287,-1.846961654458648,18.80138821391593,0.0,24.56914445448743,11.81571582214635,13.793248077611455,0.981571582214635,,1.0,,0.9497665286424618,,0.4695909279992009,,,1.7952153661177983,1.0,0.1239,0.7205226048300823,DFL-OBJ-J01DA7,10.028385985258856,1.0,1.0,0.6247120998462236,0.3537230971903102,0.5966226048300823,skeleton_pitch_control,True,66.46613490084485,63.84971884945219,66.0205718628949,90.62113774340736,D,0.4834052272727273,0.8550481344030172,0.1239,savedShot,0.9,0.8317398710194058,1.0,0.24375,1.0,1.0,0.8317398710194058,6.829344843322607,78.69219544516795,-0.0206317658842778,0.901175159943898,-22.965049743652344,4.1301727294921875,0.2218218753114342,0.5374999999999999,0.478,0.95,1.0,0.8,0.1583333333333333,0.55,0.7,1.0,1.0,1.0,0.97,0.0,0.0,0.6230351327007548,1.0,1.0,0.7035369873046875,0.0868121337890626,0.560901889598027,0.6817231466267513,0.5534004093012685,0.5818812824507241,0.629697005264153,0.769129793192669,0.6,0.7542128825248295,0.85,1.0,0.2,53.85371467023378
18902400000339,Bayern_Hamburg,carry_self_created,0.606719696969697,0.8943634950929441,0.6178347420749409,0.6161845524371028,0.9342429065146424,0.7131818181818181,0.59375,0.7566666666666667,0.8,0.17,0.4219606440665123,1.0,0.4315435821583108,0.6910433953603866,0.3466329574584961,0.5939713716506958,0.8330904852788323,0.9298305723114512,0.9386552407178334,0.8135118934512161,63.59905024762927,0.8077239214501551,61.33212312013585,0.8064775288602282,ok,63.487829352725925,0.7308583888172469,63.487829352725925,0.7308583888172469,62.83333333333333,0.76,62.83333333333333,0.76,67.1946520208132,0.7910000000000001,63.50093935858142,0.8751396127308761,82.80772133672676,0.7830420033702512,76.51299393479097,0.781697824552404,ok,15.085833333333335,0.85,ok,50.0,0.7999999999999999,ok,65.7169650744237,0.7308583888172469,67.1946520208132,0.7910000000000001,63.36707922053115,0.7964597204311734,76.3210776897964,0.7682560363739317,68.32164949851578,0.7682560363739317,84.320505881077,0.7682560363739317,41.651121131870006,0.9,68.70548198850494,0.7951396127308762,0.8135118934512161,1.6612655913181174,-0.8979750557540248,False,24.6572064871788,0.9223091825611032,0.7269488512729668,0.0,,0.671946520208132,0.6336707922053115,0.7632107768979639,0.6832164949851578,0.84320505881077,0.4165112113187,3383254,3383325,True,3383326,3383362,True,3383363,3383374,True,3383374,3383378,True,3383378,3383401,True,3383401,3383451,True,3383376.0,3383375.0,3383378.0,0.8396070504075992,0.5431942570626564,-0.0003633731394074,26.596611446229023,2.1470665748758337,20.04269550705466,0.0,25.73260792225498,11.515332892754689,12.218519596549694,0.9515332892754688,,0.8649172351077461,,0.6188120250300102,,0.3149384566697094,,,2.176745819005722,1.0,0.1157,0.6878430362412448,DFL-OBJ-J01FRO,13.221517068939454,1.0,1.0,0.6640621687642632,0.3179301600305102,0.5721430362412447,skeleton_pitch_control,True,56.41863428368053,53.04341157656834,55.51165247121829,72.7771555132102,D,0.5411507575757575,0.6805388085896379,0.1157,savedShot,0.85,0.8330904852788323,1.0,0.17,1.0,0.4315435821583108,0.8330904852788323,4.825613440441858,79.2773391660449,0.2343847665263183,1.0351140586995555,20.012474060058594,14.40267562866211,0.2040795981884002,0.7370833333333333,0.59375,0.7566666666666667,0.8,0.8,0.06,0.55,0.7,1.0,0.1733333333333332,0.9927325372118504,0.8540000000000001,0.8371932797790711,0.0,0.7648859413004445,0.1733333333333332,1.0,0.0,0.8207083892822267,1.0,0.6509622893088568,0.0,0.6383043412297572,0.7031781381766,1.0,0.6,0.7932560363739316,0.85,1.0,0.2,60.38025999262392
18902400000398,Bayern_Hamburg,carry_self_created,0.590289393939394,0.8406462086633658,1.0,0.2445512162907222,0.6008327461543674,0.8913636363636364,0.058,0.8233333333333334,1.0,0.17875,1.0,1.0,1.0,0.0062662391727912,0.0,0.0,0.9719386259900976,0.7633818347609553,0.4382836575477796,0.273861278752583,54.83845905838748,0.4643025,,0.45066875,insufficient_confidence,61.673224880221454,0.725375,61.673224880221454,0.725375,82.56666666666668,0.76,82.56666666666668,0.76,68.71646761992952,0.6430000000000002,37.44994402404237,0.74078125,21.57133588814124,0.36984375,,0.3609375,insufficient_confidence,13.294637745836836,0.85,ok,50.0,0.7999999999999999,ok,69.44391323751049,0.725375,68.71646761992952,0.6430000000000002,57.79773657980867,0.396875,26.061119611771865,0.271875,27.067872491130075,0.271875,25.05436673241366,0.271875,80.77941648864918,0.7000000000000001,22.639970146159044,0.45,0.273861278752583,-6.272941979461451,0.2063174034320416,True,5.560860953777172,8.510159749302751e-13,0.0,1.0,,0.6871646761992952,0.5779773657980867,0.2606111961177186,0.2706787249113007,0.2505436673241366,0.8077941648864918,3393675,3393749,True,3393750,3393786,True,3393787,3393798,True,3393798,3393802,True,3393802,3393825,True,3393825,3393866,True,3393800.0,3393803.0,3393800.0,-0.6657928044174604,-0.7461366775503891,0.0321821421384811,23.267636695219107,-19.660071985827713,19.779901702827512,0.1673724939699145,6.653049103805485,0.0,3.047114684304254,0.0,,0.4908978878548525,,0.0,,0.9511881081953206,,,7.635956997309997,0.0,0.0939,0.5805154158170543,DFL-OBJ-J00ZZ3,23.44373988666603,0.6666666666666667,1.0,0.7203328642353046,0.1068654169980986,0.4866154158170543,skeleton_pitch_control,True,18.192692310168702,9.13074013627756,15.804511438826614,70.6996647865196,C,0.5314340151515151,0.6557594749326263,0.0939,savedShot,0.55,0.9719386259900976,1.0,0.17875,1.0,1.0,0.9719386259900976,7.506785844497459,39.74286597485843,0.6605410739120448,-0.610211950073676,-3.4542083740234375,-4.161739349365234,1.292882300913334,0.9004166666666666,0.058,0.8233333333333334,1.0,0.8,0.0824927697925416,0.55,0.7,1.0,0.7866666666666667,1.0,0.894,0.0,0.8419044675047189,1.0,0.7866666666666667,1.0,0.0,0.0,0.0,0.8119557465005549,0.0,0.6263591683103414,0.0,0.0,0.6,0.409375,0.85,1.0,0.2,14.88868408242071
18902400000439,Bayern_Hamburg,carry_self_created,0.4708287878787879,0.8762479153605508,0.8009253596863868,0.7764359439652433,0.98998520723345,0.4027272727272727,0.231,0.7066666666666667,0.8,0.21375,0.4027760790591602,1.0,1.0,0.6852453071841057,0.7959470748901367,0.7458076477050781,0.8787437460816526,0.9850571532116096,0.9949132612552904,0.7285583281998037,85.50960487927736,0.726476795770896,86.57532354595148,0.7216084781558838,ok,48.59063562055429,0.7302745486176637,48.59063562055429,0.7302745486176637,86.63333333333333,0.76,86.63333333333333,0.76,89.78026828060653,0.7416666666666668,8.783606116577218,0.8303826968567387,58.915239776908614,0.5356706102443785,47.12596351898316,0.5451895669381983,ok,12.892666666666669,0.85,ok,50.0,0.7999999999999999,ok,61.93692091488838,0.7302745486176637,89.78026828060653,0.7416666666666668,84.37042144371637,0.7318637154415948,82.2602852014952,0.6403791338763966,86.0703448697577,0.6403791338763966,78.45022553323267,0.6403791338763966,88.36268083165196,0.8333333333333334,15.801701504733655,0.45,0.7285583281998037,39.774726448535866,-25.294244417418565,True,12.80432033003938,1.7436362440210815e-09,0.0,0.0,,0.8978026828060653,0.8437042144371637,0.8226028520149519,0.8607034486975771,0.7845022553323266,0.8836268083165196,3411112,3411181,True,3411182,3411218,True,3411219,3411230,True,3411230,3411234,True,3411234,3411257,True,3411257,3411307,True,3411232.0,3411231.0,3411233.0,0.7017616686085396,-0.7124117913621013,-0.0129269771277904,27.70114306423219,0.1780358560648399,16.14762404327797,0.012396974737217,25.794288385451424,15.946378829873767,16.500146671126956,1.0,,0.953155301908564,,0.9662288114689056,,0.2412895323106483,,,1.6788422319121246,1.0,0.0368,0.5658986895552495,DFL-OBJ-J01HP7,14.920322408957,0.6666666666666667,1.0,0.5670988820273853,0.2114518748805879,0.5290986895552494,skeleton_pitch_control,True,57.55347200412049,50.33850637136639,56.51477707617359,83.8731916155261,D,0.5853555303030303,0.8301660336933991,0.0368,blockedShot,0.75,0.8787437460816526,1.0,0.21375,1.0,1.0,0.8787437460816526,4.394032458223897,4.4361699246295245,0.3842947134016913,-0.5163416321208694,5.310630798339844,11.648082733154297,-0.2645529806613922,0.4525,0.231,0.7066666666666667,0.8,0.8,0.1183333333333333,0.55,0.7,1.0,1.0,0.741460457444191,0.8240000000000001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7646721699633695,0.9924635337481572,0.4612556383308167,0.0446844627799655,1.0,0.35,0.6653791338763966,0.85,1.0,0.2,32.856103025759715
18902400000444,Bayern_Hamburg,header,0.3641681818181818,0.959517218516328,0.7566718637735782,0.6930010713590751,0.2999984826524772,0.7990909090909091,0.8230000000000001,0.0899999999999999,0.0,0.10875,0.3507807098699667,1.0,0.9192348814507676,0.0004127715460994,0.8821687698364258,0.9108710885047911,0.9785516555489836,0.1421917430286177,0.4578052222763367,0.3565458775874038,48.40642720942447,0.7597732721629178,46.94987913194777,0.7636696674226116,ok,38.76171035228086,0.7498750000000002,38.76171035228086,0.7498750000000002,63.05,0.76,63.05,0.76,85.60371123827942,0.7686666666666666,11.314006587876424,0.8034217507559449,40.26483083513201,0.7709197496019846,,0.723421750755945,insufficient_confidence,9.568900538386009,0.85,ok,,0.0,insufficient_confidence,47.35625134596502,0.7498750000000002,85.60371123827942,0.7686666666666666,54.20776249448973,0.571875,26.925444404568267,0.8289728593026997,26.925444404568267,0.8289728593026997,,0.0,42.11544078130024,0.9333333333333332,16.95426029643822,0.723421750755945,0.3565458775874038,-8.775024806495193,-0.3623513956941808,False,10.241932696084293,0.0189232517737324,0.0,0.0,,0.8560371123827941,0.5420776249448973,0.2692544440456826,0.2692544440456826,,0.4211544078130024,3413880,3413952,True,3413953,3413989,True,3413990,3414001,True,3414001,3414005,True,3414005,3414028,True,3414028,3414078,True,3414003.0,3414000.0,3414005.0,0.8502876662045261,-0.526318235196597,1.8793209791183472,10.843834860572354,18.976817220328215,0.0,0.0,10.805330854284383,0.0,3.587303193274922,,,,,0.0,,1.0,,,3.0228375680375086,,0.0397,0.6345056108004928,DFL-OBJ-J01N5U,13.144519471677173,0.6666666666666667,1.0,0.6352455325210397,0.0487132166002911,0.5948056108004929,skeleton_pitch_control,True,23.01839034526701,15.955146389416903,21.607298169649606,30.88384959757142,V,0.7564370454545455,0.6430524102042818,0.0397,shotWide,0.9,0.9785516555489836,1.0,0.10875,1.0,0.9192348814507676,0.9785516555489836,1.3250354828350406,106.25727597108494,0.1724593672760217,0.3398790481767736,8.231353759765625,-5.2817583084106445,3.0405640602111816,0.8158333333333333,0.8230000000000001,0.0899999999999999,0.0,0.8,0.1702251345965016,0.55,1.0,0.25,1.0,0.0,0.454,1.0,0.0,0.9655742090950272,1.0,1.0,1.0,1.0,,0.8949992924028246,,0.0,0.0,1.0,0.2,0.5883478593026998,0.85,1.0,0.2,9.916891284815812
18902400000451,Bayern_Hamburg,dead_ball,0.4643454545454545,0.9259342138114152,0.7495108902642243,0.6964522680656964,0.8498487583715736,0.1527272727272727,0.25775,0.91,0.8,0.20125,0.438115891659498,1.0,0.8104167791331748,0.4819490921139401,0.9479079246520996,0.4781494140625,0.8778026414342455,1.0,0.6996975167431472,0.7738505687754457,79.41217523797692,0.7946306608172082,77.29498320919328,0.7987915565591438,ok,49.19333333333333,0.724953832602151,49.19333333333333,0.724953832602151,89.2,0.76,89.2,0.76,79.35727528499517,0.8,55.61307515870039,0.8510480176344108,86.34925832809016,0.7388167180860256,75.83489066855638,0.7352354625806494,ok,14.003166666666672,0.85,ok,,0.0,insufficient_confidence,49.21399999999999,0.724953832602151,79.35727528499517,0.8,73.10511656613252,0.8244229075268878,78.41507170979591,0.6994229075268878,72.01544133114177,0.6994229075268878,84.81470208845006,0.6994229075268878,91.27226240352316,0.9333333333333332,66.85507924866272,0.7710480176344109,0.7738505687754457,4.853407410181694,0.9335562707318044,False,30.049340887624,0.8606723223735278,0.0054938248485886,1.0,,0.7935727528499517,0.7310511656613252,0.7841507170979591,0.7201544133114177,0.8481470208845006,0.9127226240352316,3415398,3415470,True,3415471,3415507,True,3415508,3415519,True,3415519,3415523,True,3415523,3415546,True,3415546,3415596,True,3415521.0,3415520.0,3415521.0,-0.8453511002858358,0.5342111167371253,0.0805188417434692,33.725629887378545,10.51058691398985,19.648086148647533,0.0048691081050269,31.803291669885805,15.31122218373316,15.751780564936867,1.0,,0.8806714529080732,,0.6900780188888033,,1.0,,,2.141067782676651,1.0,0.0275,0.7100235982230866,DFL-OBJ-0027G6,15.609452779358712,1.0,1.0,0.7054770784600174,0.609760994494507,0.6825235982230866,skeleton_pitch_control,True,57.785138538926134,54.218548461139655,57.233242731123575,80.1314705758063,D,0.5485088636363636,0.7510079461162094,0.0275,successfulShot,0.9,0.8778026414342455,1.0,0.20125,1.0,0.8104167791331748,0.8778026414342455,2.7978306303985625,24.17140718942835,0.503833105889595,-0.8068916079592954,-24.71179962158203,16.30682945251465,5.135869979858398,0.2233333333333332,0.25775,0.91,0.8,0.8,0.1016666666666666,0.55,1.0,1.0,0.7,1.0,0.7,1.0,0.9447604792952232,0.5969414979302996,0.7,0.7442334322436139,0.9583683013916016,0.4500781250000001,0.4857607562338705,0.7209472418551534,0.0666232049152131,0.6203675522112515,1.0,1.0,0.9,0.7244229075268879,0.85,1.0,0.2,61.01991695780558
18902400000468,Bayern_Hamburg,dead_ball,0.544539393939394,0.6607081315025495,0.8755458643220787,0.2455310986269121,0.7676054141763601,0.5763636363636364,0.52175,0.6233333333333333,0.8,0.20125,0.6266375929662361,1.0,1.0,4.578426801408218e-57,0.0,0.0,0.9821243945076488,1.0,0.5352108283527202,0.0,49.4132727141389,0.421,,0.4213020833333333,insufficient_confidence,55.309071330512495,0.71375,55.309071330512495,0.71375,83.46666666666667,0.76,83.46666666666667,0.76,33.62948907065778,0.6000000000000001,21.710909453091947,0.7320312499999999,79.07637167537905,0.4697109375000001,,0.4494531250000001,insufficient_confidence,14.438276869743383,0.85,ok,,0.0,insufficient_confidence,58.12858903569173,0.71375,33.62948907065778,0.6000000000000001,67.53079635005575,0.371875,46.70600539230795,0.246875,34.731865917614726,0.246875,58.680144867001175,0.246875,42.42877645652238,0.6666666666666666,40.89035398642283,0.6520312500000002,0.0,48.28025314168325,-13.707395581119377,False,29.563848264628007,0.3301888042426948,0.0,0.0,,0.3362948907065778,0.6753079635005576,0.4670600539230795,0.3473186591761473,0.5868014486700117,0.4242877645652237,3421344,3421359,True,3421360,3421396,True,3421397,3421408,True,3421408,3421412,True,3421412,3421435,True,3421435,3421485,True,3421410.0,3421413.0,3421412.0,0.367561018901736,0.9299994071954656,0.6236832737922668,29.84769130337467,16.267621007654792,26.97815178995292,0.0,29.741051296112897,0.0,0.3327561106270181,0.0,,0.0,,0.0,,1.0,,,89.69840177279433,,0.0238,0.6779209958888115,DFL-OBJ-002G8B,5.326873446661677,0.6666666666666667,0.637377337960153,0.498432981980047,0.4022009739718344,0.6541209958888115,skeleton_pitch_control,True,0.0,0.0,0.0,59.17015119324253,C,0.5817840151515151,0.6334526062996267,0.0238,shotWide,0.0,0.9821243945076488,1.0,0.20125,1.0,1.0,0.9821243945076488,1.656824049951115,137.47310407099528,-24.505540776908905,-10.103808309808755,9.698009490966797,26.646995544433594,8.361062407493591,0.6116666666666666,0.52175,0.6233333333333333,0.8,0.8,0.1727775507691792,0.55,1.0,1.0,0.7,0.3918149471282959,0.7,0.43788269996741,0.0,0.0,0.7,1.0,0.0,0.0,0.9099345841740312,0.7732841866630054,1.0,0.953552354088769,0.9757693480348892,1.0,0.2,0.384375,0.85,1.0,0.2,32.13911350703803
