event_id,match_folder,candidate_rank,candidate_frame,frame_offset,inferred_foot,nearest_part,foot_ball_distance_m,ball_speed_m_s,previous_ball_speed_m_s,velocity_jump_m_s,position_delta_speed_m_s,previous_position_delta_speed_m_s,position_delta_jump_m_s,parquet_ball_speed_m_s,previous_parquet_ball_speed_m_s,parquet_velocity_jump_m_s,distance_cost,anchor_cost,jump_credit,total_contact_cost,top1_top2_cost_gap,selected,selected_by
18902400000023,Bayern_Hamburg,1,3335798,-3,left,left_toe,0.5410279114317529,32.02985597212944,13.074349449297564,18.955506522831875,32.02985597212944,13.074349449297564,18.955506522831875,0.37872059957912196,0.26079974313461807,0.1179208564445039,0.5410279114317529,0.36,0.2,0.7010279114317528,-0.19370000926359587,True,position_delta_jump
18902400000023,Bayern_Hamburg,2,3335797,-4,left,left_ankle,0.22732790216815693,13.074349449297564,0.4401491396172765,12.634200309680288,13.074349449297564,0.4401491396172765,12.634200309680288,0.26079974313461807,0.2640753407054922,0.0,0.22732790216815693,0.48,0.2,0.5073279021681569,-0.19370000926359587,False,cost
18902400000023,Bayern_Hamburg,3,3335796,-5,left,left_ankle,0.26557833170291295,0.4401491396172765,0.20322561623643617,0.2369235233808403,0.4401491396172765,0.20322561623643617,0.2369235233808403,0.2640753407054922,0.17291672741663797,0.09115861328885425,0.26557833170291295,0.6,0.004738470467616806,0.8608398612352961,-0.19370000926359587,False,cost
18902400000023,Bayern_Hamburg,4,3335795,-6,right,right_ankle,0.2962417919819467,0.20322561623643617,0.27229696514628887,0.0,0.20322561623643617,0.27229696514628887,0.0,0.17291672741663797,0.06036960087491717,0.1125471265417208,0.2962417919819467,0.72,0.0,1.0162417919819466,-0.19370000926359587,False,cost
18902400000023,Bayern_Hamburg,5,3335794,-7,right,right_ankle,0.3048366490738643,0.27229696514628887,0.24246991126268636,0.029827053883602517,0.27229696514628887,0.24246991126268636,0.029827053883602517,0.06036960087491717,0.15348779750884808,0.0,0.3048366490738643,0.84,0.0005965410776720503,1.1442401079961921,-0.19370000926359587,False,cost
18902400000048,Bayern_Hamburg,1,3338828,-3,right,right_toe,0.1332572029471658,22.970820916906067,2.364324920806454,20.606495996099614,22.970820916906067,2.364324920806454,20.606495996099614,3.063028195685524,3.0714705108625395,0.0,0.1332572029471658,0.36,0.2,0.2932572029471658,0.3117213837353963,True,position_delta_jump
18902400000048,Bayern_Hamburg,2,3338829,-2,right,right_toe,0.5649785866825621,34.899047109466856,22.970820916906067,11.928226192560789,34.899047109466856,22.970820916906067,11.928226192560789,3.0671701425004647,3.063028195685524,0.0041419468149408445,0.5649785866825621,0.24,0.2,0.6049785866825621,0.3117213837353963,False,cost
18902400000048,Bayern_Hamburg,3,3338827,-4,right,right_toe,0.168170988072651,2.364324920806454,3.806393929491329,0.0,2.364324920806454,3.806393929491329,0.0,3.0714705108625395,3.425167830464151,0.0,0.168170988072651,0.48,0.0,0.6481709880726509,0.3117213837353963,False,cost
18902400000048,Bayern_Hamburg,4,3338826,-5,left,left_ankle,0.32291979278778055,3.806393929491329,3.0661423560126093,0.7402515734787198,3.806393929491329,3.0661423560126093,0.7402515734787198,3.425167830464151,3.305932272314621,0.11923555814952991,0.32291979278778055,0.6,0.014805031469574396,0.9081147613182062,0.3117213837353963,False,cost
18902400000048,Bayern_Hamburg,5,3338825,-6,left,left_ankle,0.27197826183132284,3.0661423560126093,3.5509575792397396,0.0,3.0661423560126093,3.5509575792397396,0.0,3.305932272314621,3.3080153998074553,0.0,0.27197826183132284,0.72,0.0,0.9919782618313229,0.3117213837353963,False,cost
18902400000172,Bayern_Hamburg,1,3357345,-4,right,right_toe,0.3219757283546446,26.66557814497735,5.562477861409538,21.103100283567812,26.66557814497735,5.562477861409538,21.103100283567812,5.5963799003279195,5.598415136602195,0.0,0.3219757283546446,0.48,0.2,0.6019757283546445,0.20955462434736294,True,position_delta_jump
18902400000172,Bayern_Hamburg,2,3357344,-5,right,right_ankle,0.21153035270200743,5.562477861409538,5.649480985828146,0.0,5.562477861409538,5.649480985828146,0.0,5.598415136602195,5.537420776740384,0.060994359861810565,0.21153035270200743,0.6,0.0,0.8115303527020075,0.20955462434736294,False,cost
18902400000172,Bayern_Hamburg,3,3357346,-3,right,right_toe,0.6095247139735845,28.750648621464507,26.66557814497735,2.0850704764871573,28.750648621464507,26.66557814497735,2.0850704764871573,27.703195817838992,5.5963799003279195,22.10681591751107,0.6095247139735845,0.36,0.04170140952974315,0.9278233044438414,0.20955462434736294,False,cost
18902400000172,Bayern_Hamburg,4,3357343,-6,right,right_toe,0.38329209354756694,5.649480985828146,5.4437046099132065,0.20577637591493936,5.649480985828146,5.4437046099132065,0.20577637591493936,5.537420776740384,5.364781124320358,0.17263965242002577,0.38329209354756694,0.72,0.0041155275182987875,1.0991765660292683,0.20955462434736294,False,cost
18902400000172,Bayern_Hamburg,5,3357347,-2,right,right_toe,0.9581146856190466,27.151107446778653,28.750648621464507,0.0,27.151107446778653,28.750648621464507,0.0,27.939987512519686,27.703195817838992,0.2367916946806936,0.9581146856190466,0.24,0.0,1.1981146856190465,0.20955462434736294,False,cost
18902400000231,Bayern_Hamburg,1,3368127,-2,left,left_ankle,0.40297738158931523,24.76185089760287,5.960462683686939,18.80138821391593,24.76185089760287,5.960462683686939,18.80138821391593,4.846087213391148,5.394348661556182,0.0,0.40297738158931523,0.24,0.2,0.44297738158931516,0.025760886910518532,True,position_delta_jump
18902400000231,Bayern_Hamburg,2,3368126,-3,left,left_ankle,0.12599120401367783,5.960462683686939,5.097815907994733,0.8626467756922054,5.960462683686939,5.097815907994733,0.8626467756922054,5.394348661556182,4.815640049083758,0.5787086124724246,0.12599120401367783,0.36,0.017252935513844107,0.4687382684998337,0.025760886910518532,False,cost
